camNum	frameNum	sysClock	buffer
0	386	12809	1
2	385	12823	1
0	387	12843	1
2	386	12855	1
0	388	12876	1
2	387	12886	1
0	389	12907	1
2	388	12917	1
0	390	12940	1
2	389	12949	1
0	391	12973	1
2	390	12997	1
0	392	13009	1
2	391	13031	1
0	393	13043	1
2	392	13062	1
0	394	13075	1
2	393	13093	1
0	395	13106	1
2	394	13125	1
0	396	13140	1
2	395	13157	1
0	397	13173	1
2	396	13189	1
0	398	13207	1
2	397	13221	1
0	399	13241	1
2	398	13254	1
0	400	13274	1
2	399	13286	1
0	401	13309	1
2	400	13318	1
0	402	13342	1
2	401	13366	1
0	403	13376	1
2	402	13399	1
0	404	13410	1
2	403	13431	1
0	405	13444	1
2	404	13463	1
0	406	13477	1
2	405	13495	1
0	407	13511	1
2	406	13527	1
0	408	13544	1
2	407	13558	1
0	409	13574	1
2	408	13589	1
0	410	13607	1
2	409	13623	1
0	411	13642	1
2	410	13653	1
0	412	13675	1
2	411	13686	1
0	413	13707	1
2	412	13718	1
0	414	13740	1
2	413	13765	1
0	415	13773	1
2	414	13797	1
0	416	13810	1
2	415	13830	1
0	417	13840	1
2	416	13861	1
0	418	13874	1
2	417	13893	1
0	419	13907	1
2	418	13926	1
0	420	13941	1
2	419	13957	1
0	421	13974	1
2	420	13990	1
0	422	14007	1
2	421	14021	1
0	423	14040	1
2	422	14053	1
0	424	14075	1
2	423	14086	1
0	425	14110	1
2	424	14119	1
0	426	14144	1
2	425	14166	1
0	427	14177	1
2	426	14199	1
0	428	14210	1
2	427	14231	1
0	429	14243	1
2	428	14262	1
0	430	14274	1
2	429	14293	1
0	431	14307	1
2	430	14325	1
0	432	14340	1
2	431	14358	1
0	433	14374	1
2	432	14390	1
0	434	14408	1
2	433	14422	1
0	435	14443	1
2	434	14455	1
0	436	14477	1
2	435	14486	1
0	437	14507	1
2	436	14533	1
0	438	14540	1
2	437	14565	1
0	439	14574	1
2	438	14597	1
0	440	14607	1
2	439	14629	1
0	441	14641	1
2	440	14662	1
0	442	14675	1
2	441	14694	1
0	443	14709	1
2	442	14726	1
0	444	14742	1
2	443	14758	1
0	445	14778	1
2	444	14791	1
0	446	14811	1
2	445	14823	1
0	447	14844	1
2	446	14855	1
0	448	14877	1
2	447	14886	1
0	449	14908	1
2	448	14933	1
0	450	14941	1
2	449	14965	1
0	451	14975	1
2	450	14997	1
0	452	15008	1
2	451	15029	1
0	453	15041	1
2	452	15062	1
0	454	15076	1
2	453	15093	1
0	455	15108	1
2	454	15125	1
0	456	15142	1
2	455	15158	1
0	457	15175	1
2	456	15190	1
0	458	15209	1
2	457	15222	1
0	459	15242	1
2	458	15254	1
0	460	15277	1
2	459	15302	1
0	461	15310	1
2	460	15334	1
0	462	15342	1
2	461	15365	1
0	463	15374	1
2	462	15397	1
0	464	15408	1
2	463	15429	1
0	465	15441	1
2	464	15462	1
0	466	15475	1
2	465	15493	1
0	467	15508	1
2	466	15526	1
0	468	15543	1
2	467	15558	1
0	469	15576	1
2	468	15590	1
0	470	15608	1
2	469	15621	1
0	471	15641	1
2	470	15669	1
0	472	15675	1
2	471	15703	1
0	473	15711	1
2	472	15735	1
0	474	15746	1
2	473	15767	1
0	475	15778	1
2	474	15799	1
0	476	15810	1
2	475	15829	1
0	477	15841	1
2	476	15862	1
0	478	15875	1
2	477	15893	1
0	479	15908	1
2	478	15926	1
0	480	15942	1
2	479	15958	1
0	481	15975	1
2	480	15991	1
0	482	16012	1
2	481	16023	1
0	483	16045	1
2	482	16070	1
0	484	16075	1
2	483	16102	1
0	485	16109	1
2	484	16134	1
0	486	16142	1
2	485	16166	1
0	487	16176	1
2	486	16198	1
0	488	16209	1
2	487	16229	1
0	489	16242	1
2	488	16262	1
0	490	16275	1
2	489	16293	1
0	491	16308	1
2	490	16325	1
0	492	16342	1
2	491	16357	1
0	493	16375	1
2	492	16389	1
0	494	16408	1
2	493	16437	1
0	495	16442	1
2	494	16470	1
0	496	16476	1
2	495	16501	1
0	497	16509	1
2	496	16533	1
