framenumber,cam0_frame,cam0_sysclock,cam2_frame,cam2_sysclock
325,325.0,10772.0,325,10821
326,326.0,10805.0,326,10853
327,327.0,10839.0,327,10885
328,328.0,10872.0,328,10917
329,329.0,10905.0,329,10949
330,330.0,10938.0,330,10981
331,331.0,10972.0,331,11013
332,332.0,11005.0,332,11045
333,333.0,11039.0,333,11093
334,334.0,11072.0,334,11125
335,335.0,11105.0,335,11157
336,336.0,11139.0,336,11189
337,337.0,11172.0,337,11222
338,338.0,11206.0,338,11254
339,339.0,11240.0,339,11286
340,340.0,11274.0,340,11318
341,341.0,11307.0,341,11349
342,342.0,11339.0,342,11383
343,343.0,11376.0,343,11414
344,344.0,11408.0,344,11445
345,345.0,11439.0,345,11493
346,346.0,11472.0,346,11525
347,347.0,11505.0,347,11557
348,348.0,11539.0,348,11589
349,349.0,11572.0,349,11621
350,350.0,11606.0,350,11653
351,351.0,11639.0,351,11685
352,352.0,11672.0,352,11717
353,353.0,11706.0,353,11749
354,354.0,11739.0,354,11781
355,355.0,11772.0,355,11813
356,356.0,11806.0,356,11861
357,357.0,11839.0,357,11893
358,358.0,11873.0,358,11925
359,359.0,11906.0,359,11957
360,360.0,11939.0,360,11989
361,361.0,11973.0,361,12021
362,362.0,12006.0,362,12053
363,363.0,12039.0,363,12085
364,364.0,12073.0,364,12117
365,365.0,12106.0,365,12149
366,366.0,12139.0,366,12182
367,367.0,12173.0,367,12213
368,368.0,12206.0,368,12261
369,369.0,12239.0,369,12294
370,370.0,12273.0,370,12326
371,371.0,12306.0,371,12357
372,372.0,12340.0,372,12389
373,373.0,12373.0,373,12421
374,374.0,12406.0,374,12453
375,375.0,12440.0,375,12486
376,376.0,12474.0,376,12519
377,377.0,12510.0,377,12551
378,378.0,12543.0,378,12583
379,379.0,12576.0,379,12631
380,380.0,12610.0,380,12663
381,381.0,12643.0,381,12695
382,382.0,12676.0,382,12727
383,383.0,12710.0,383,12759
384,384.0,12743.0,384,12791
385,385.0,12777.0,385,12823
386,386.0,12809.0,386,12855
387,387.0,12843.0,387,12886
388,388.0,12876.0,388,12917
389,389.0,12907.0,389,12949
390,390.0,12940.0,390,12997
391,391.0,12973.0,391,13031
392,392.0,13009.0,392,13062
393,393.0,13043.0,393,13093
394,394.0,13075.0,394,13125
395,395.0,13106.0,395,13157
396,396.0,13140.0,396,13189
397,397.0,13173.0,397,13221
398,398.0,13207.0,398,13254
399,399.0,13241.0,399,13286
400,400.0,13274.0,400,13318
401,401.0,13309.0,401,13366
402,402.0,13342.0,402,13399
403,403.0,13376.0,403,13431
404,404.0,13410.0,404,13463
405,405.0,13444.0,405,13495
406,406.0,13477.0,406,13527
407,407.0,13511.0,407,13558
408,408.0,13544.0,408,13589
409,409.0,13574.0,409,13623
410,410.0,13607.0,410,13653
411,411.0,13642.0,411,13686
412,412.0,13675.0,412,13718
413,413.0,13707.0,413,13765
414,414.0,13740.0,414,13797
415,415.0,13773.0,415,13830
416,416.0,13810.0,416,13861
417,417.0,13840.0,417,13893
418,418.0,13874.0,418,13926
419,419.0,13907.0,419,13957
420,420.0,13941.0,420,13990
421,421.0,13974.0,421,14021
422,422.0,14007.0,422,14053
423,423.0,14040.0,423,14086
424,424.0,14075.0,424,14119
425,425.0,14110.0,425,14166
426,426.0,14144.0,426,14199
427,427.0,14177.0,427,14231
428,428.0,14210.0,428,14262
429,429.0,14243.0,429,14293
430,430.0,14274.0,430,14325
431,431.0,14307.0,431,14358
432,432.0,14340.0,432,14390
433,433.0,14374.0,433,14422
434,434.0,14408.0,434,14455
435,435.0,14443.0,435,14486
436,436.0,14477.0,436,14533
437,437.0,14507.0,437,14565
438,438.0,14540.0,438,14597
439,439.0,14574.0,439,14629
440,440.0,14607.0,440,14662
441,441.0,14641.0,441,14694
442,442.0,14675.0,442,14726
443,443.0,14709.0,443,14758
444,444.0,14742.0,444,14791
445,445.0,14778.0,445,14823
446,446.0,14811.0,446,14855
447,447.0,14844.0,447,14886
448,448.0,14877.0,448,14933
449,449.0,14908.0,449,14965
450,450.0,14941.0,450,14997
451,451.0,14975.0,451,15029
452,452.0,15008.0,452,15062
453,453.0,15041.0,453,15093
454,454.0,15076.0,454,15125
455,455.0,15108.0,455,15158
456,456.0,15142.0,456,15190
457,457.0,15175.0,457,15222
458,458.0,15209.0,458,15254
459,459.0,15242.0,459,15302
460,460.0,15277.0,460,15334
461,461.0,15310.0,461,15365
462,462.0,15342.0,462,15397
