scorer,DLC_Resnet50_AuTmMo1Feb20shuffle1_snapshot_best-10,DLC_Resnet50_AuTmMo1Feb20shuffle1_snapshot_best-10,DLC_Resnet50_AuTmMo1Feb20shuffle1_snapshot_best-10
bodyparts,red_light,red_light,red_light
coords,x,y,likelihood
674,609.8635,333.87732,0.9675786
675,609.1199,331.3712,0.97488034
676,607.8147,329.08295,0.95300686
677,609.07245,328.9738,0.9545727
678,611.23285,329.78278,0.9553967
679,615.12775,330.76932,0.9116032
680,617.3664,331.38535,0.90475094
681,616.4848,330.26645,0.8754732
682,615.7953,331.97617,0.91407794
683,616.4187,335.078,0.9326009
684,614.81604,335.745,0.971515
685,614.4822,337.17276,1.0
686,613.8934,337.94373,1.0
687,611.5844,338.8033,1.0
688,610.2087,340.0171,1.0
689,609.80646,341.22418,1.0
690,609.7048,341.34528,1.0
691,610.1197,341.0945,1.0
692,611.7953,340.7908,1.0
693,612.44574,341.15625,1.0
694,615.2564,340.9899,1.0
695,611.43256,341.45508,1.0
696,614.8728,339.7162,1.0
697,610.8333,340.14374,1.0
698,612.4217,339.27237,1.0
699,609.7708,338.86737,1.0
700,609.36566,339.58383,1.0
701,610.9235,339.0456,1.0
702,608.3744,341.5155,1.0
703,610.9412,341.35202,1.0
704,607.6731,343.94162,0.9883852
705,607.64966,344.3404,0.9922185
706,608.9699,343.46997,1.0
707,606.8385,344.48788,0.9612495
708,608.1971,341.5221,1.0
709,609.85846,339.74692,1.0
710,607.22064,337.71368,1.0
711,608.2617,336.56818,0.9912572
712,609.344,337.2571,1.0
713,610.07874,334.95374,0.9636805
714,609.4594,335.58704,0.95412976
715,607.12476,335.07748,0.9321204
716,607.72327,335.8734,0.92896295
717,607.9484,335.66006,0.95801795
718,607.18646,336.7316,1.0
719,606.22736,335.95697,0.97354245
720,606.15045,335.74872,0.966624
721,606.9678,336.0282,0.9642426
722,607.3761,335.00912,0.9833118
723,606.4596,334.94614,1.0
724,606.92596,333.2824,0.9972995
725,607.3204,329.5558,0.96106803
726,606.96155,330.18848,0.93462545
727,607.06354,330.69672,0.9675766
728,607.7011,330.39148,0.9693029
729,607.4679,331.24582,0.9661069
730,606.74817,331.2262,0.9579949
731,604.965,331.99374,0.98365104
732,603.9429,329.98572,0.9482242
733,604.3658,328.71915,0.95439166
734,603.4922,329.45358,0.9417269
735,603.02795,328.71475,0.93795985
736,603.57983,329.38562,0.9398955
737,603.88336,329.7586,0.9483324
738,603.95197,330.45407,0.95151645
739,604.6656,328.13898,0.97908664
740,604.6304,327.62234,0.97381294
741,604.9399,328.01654,0.9843562
742,605.38245,328.14612,0.9721093
743,605.74976,328.16068,0.9611299
744,606.142,330.23535,0.94916475
745,606.8357,329.42596,0.94344425
746,605.90967,328.07028,0.9588101
747,605.3214,328.87653,0.9651716
748,605.7352,330.36337,0.94876546
749,604.679,329.77695,0.93977666
750,602.9853,329.35126,0.93139946
751,602.9277,328.90775,0.9503067
752,603.64215,330.0462,0.93477166
753,606.56323,329.53888,0.95635104
754,607.00146,328.5261,0.95982325
755,605.57385,327.59753,0.96826196
756,607.3034,327.8383,0.9615768
757,607.6859,328.62152,0.95110154
758,607.55786,327.61453,0.96155345
759,607.09326,327.53925,0.9633428
760,607.4561,328.83157,0.9640467
761,608.3291,330.38617,0.9649869
762,608.5103,331.48227,0.97992766
763,608.15247,331.54468,0.97618103
764,609.1267,332.513,0.97904277
765,613.48553,334.87164,0.96486366
766,617.1491,337.88956,1.0
767,618.629,338.05402,1.0
768,619.8778,339.62863,1.0
769,619.53046,345.273,0.98539925
770,618.6438,350.29834,0.99212706
771,614.5651,351.8159,1.0
772,608.0437,352.42572,1.0
773,605.37274,352.91748,1.0
774,602.13885,353.75946,1.0
775,597.45886,353.28915,1.0
776,593.4288,353.534,1.0
777,592.93207,353.14145,1.0
778,593.1416,353.17413,1.0
779,593.22253,352.6067,1.0
780,593.7465,352.3017,1.0
